,Name,Actors,Introduction,Date
11,诗季织织,,电影《诗季织织》由李豪凌、易小星、竹内良贵导演执导，上海绘界文化传播有限公司、日本动画工作室CoMix Wave Films、伊犁卓然影业有限公司、B站联合出品，中日联合制作。影片由三段小故事组成，从生活中的小事来讲述青春故事。故事主要讲述主人公们的回忆。易小星导演负责“三鲜米粉”主题：这是一个关于漂泊青年心怀梦想，年迈祖母在故乡期盼，二人分隔两地的故事；竹内良贵负责“小小时装秀”主题：一对姐妹在广州互相扶持，携手前进的故事；李豪凌负责“上海恋”主题：一对青梅竹马的上海情侣发生的故事。竹内良贵曾在大热动漫《你的名字》中负责CG部分，你......详情>>,上映：2018年08月17日
12,解码游戏,韩庚/李媛/凤小岳/山下智久,电影《解码游戏》由李海龙导演执导，韩庚、凤小岳、李媛、山下智久参演，该影片将于2018年暑假上映。影片主要讲述宅男李浩明的喜感故事。李浩明拥有强大的网络技术天赋，通晓复杂的网络技术。在网络世界里，他以“海盗船长”的昵称存在着，虽然是一位网络海盗，但他做的却不是抢劫掳掠的恶心，而是以单打独斗的方式在网络上行侠仗义，打抱不平，为着自己内心的善意与正义，用自己仅有的力量，帮助好人、惩罚坏人。后来他认识了苏仪，他的平静生活就此天翻地覆。苏仪及自己的拍档乔飞要挟“海盗船长”卷入了一场极客密谋，这场极客密谋是网络黑手闫岳一手策划，他是背后的终极b......详情>>,上映：2018年08月17日
13,有五个姐姐的我就注定要单身了啊,谢金燕/刘奕儿/张墨锡/高隽雅/张垚/项婕如,《有五个姐姐的我就注定要单身了啊》这部影片是由谢金燕、刘奕儿、张墨锡、高焦雅、张垚、项婕如、蔡凡熙主演，于2018年8月24日上映，主要是讲述了李家父母因一场车祸在临终前交代五个女儿，一定要照顾好弟弟狂龙。于是五个姐姐放弃自己的幸福，一心为狂龙，用疯狂的方式阻止弟弟与女孩交往。有趣与爆笑的桥段，令观众沉醉在天翻地覆的亲情与爱情的保卫战中。...详情>>,上映：2018年08月17日
14,冷恋时代,姚星彤/梦丽/董琦/朱璇/李东艾/立威廉,《冷恋时代》这部影片是由姚星彤、董琦、梦丽、朱璇、李东艾主演，于2018年8月17日上映，据悉，该影片主要是讲述了都市女子后现代爱情生活群像，描述了她们她们理性淡然、体面自保，在紧要关头却牢牢把握了自己人生和幸福的方向故事。...详情>>,上映：2018年08月17日
15,未来机器城,,《未来机械城》这部影片是由Kevin R. Adams（安恪温）、Joe Ksander（龙子乔）联合执导，于2018年8月17日上映，据悉，该影片主要是讲述了一个发生在未来世界中的暖心故事，机器人7723偶然被叛逆的足球少女苏小麦唤醒，两人也因此遭遇了重重险境，在机器城并肩冒险的过程中，7723始终保持着自己温暖的“机芯”，也逐渐被本厌恶机器人的苏小麦所理解、接受，一步一步走进了小麦的心中。...详情>>,上映：2018年08月17日
16,的士速递5,弗兰克·盖思堂彼/马利克·班泽拉/弗兰克·加斯堂彼得/马利克·宾塔哈/伯纳尔·法尔西/塞尔维托·埃斯波西多,《的士速递5》这部影片是由弗兰克-盖思堂彼、马利克-班泽拉等联袂主演，预计在2018年8月3日在中国上映，据悉，该影片主要是讲述麻烦警探西尔万与废柴司机埃迪阴差阳错下组成乌龙搭档，联手剿灭犯罪团伙的故事。...详情>>,上映：2018年08月17日
17,小偷家族,中川雅也/安藤樱/树木希林/松冈亚纪/城桧吏/佐佐木美雪,《小偷家族》这部影片是由中川雅也，安藤樱，树木希林，松冈茉优主演，2018年6月8日在日本上映，2018年8月3日在中国上映，据悉，该影片主要是讲述了田家靠犯罪来维持家计，在一家之主柴田治捡回一个遍体鳞伤的小女孩后，这个家庭的秘密渐渐曝光的故事。做短工的治（中川雅也饰）与妻子信代（安藤樱饰）、“儿子”祥太（城桧吏饰）、信代的“妹妹”亚纪（松冈茉优饰）以及“老母亲”初枝（树木希林饰），依靠初枝的养老保险，在破烂的平房中艰难度日。治与儿子祥太做扒手，亚纪打工补贴家用。某一天，治带回在住宅区被冻僵的少女百合（佐佐木美雪饰），加入了他们原本就......详情>>,上映：2018年08月17日
18,美食大冒险之英雄烩,杨光普照/孟宇/张喆/郭政建,《美食大冒险之英雄烩》这部影片是由孙海鹏执导，预计在2018年8月10日上映，据悉，该影片主要是讲述了一个完全由食物组成、对于人类而言很好吃的世界。传说在远古时代，食物世界没有生命只有食材，一位名叫“女娲”的厨娘用食材创造出各种食物，并使它们变得跟人类一样，有感情、有梦想、有喜怒哀乐，从此食物世界变得生机勃发起来。但后来，食物之间也有了纷争。有的食物为了私欲沦为海盗，有的食物为了抗击海盗挺身而出，成为了拯救食族的大英雄。主人公包强秉承着祖师爷“人人皆可成英雄”的训导，踏上了一段奇妙又逗趣的冒险之旅。...详情>>,上映：2018年08月17日
19,妈妈咪呀2,马梅丽尔·斯特里普/科林·费斯/阿曼达·塞弗里德/皮尔斯·布鲁斯南/斯特兰·斯卡斯加德/多米尼克·库珀,《妈妈咪呀2》这部影片是由马梅丽尔·斯特里普、科林·费斯、阿曼达·塞弗里德、皮尔斯·布鲁斯南、斯特兰·斯卡斯加德、多米尼克·库珀、莉莉·詹姆斯、流行音乐天后及奥斯卡影后雪儿、“教父”安迪·加西亚等主演，于2018年8月3日在中国上映，据悉，该影片是根据同名百老汇动画改编，后续将会陆续更新演员以及剧情信息，敬请期待！...详情>>,上映：2018年08月17日
20,爸，我一定行的,,《爸，我一定行的》这部影片是由蓝鸿春导演，369郑润奇编剧并主演的本土方言喜剧电影《爸，我一定行的》今日发布一款预告，预计8月末全国上映。电影主要讲述一对潮汕父子两代间的冲突和羁绊，两人从误解对立到互相支持和解的故事。...详情>>,上映：2018年08月17日
